title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition
Phyllis’s Homemade Baked Mac & Cheese,"You'll love Phyllis's homemade baked mac & cheese. It begins with a stovetop cheese sauce stirred with elbow macaroni, and finishes in the oven with more Cheddar and seasoned breadcrumbs baked on top. There's also a version with sauteed shrimp that you really must try.",20 mins,50 mins,1 hr 10 mins,12,"['4 tablespoons butter, divided', '2 cups whole milk, or as needed', '3 tablespoons all-purpose flour', '24 ounces extra-sharp yellow Cheddar cheese, cubed', '16 ounces sharp Cheddar cheese, cubed', '2 pounds elbow macaroni', '2 large eggs, beaten', 'salt and freshly ground black pepper to taste', '2 pounds shredded sharp Cheddar cheese', '1/2 cup seasoned breadcrumbs (optional)']","['Preheat the oven to 350 degrees F. Grease a large casserole dish.', 'Melt 2 tablespoons butter in a saucepan over medium heat. Add milk, bring to a simmer, then reduce heat to low. Mix flour with 2 to 3 tablespoons water until smooth.\xa0 Add flour mixture to the saucepan, stirring constantly, and cook until sauce thickens. Add cubed extra-sharp Cheddar and cubed sharp Cheddar cheese, stirring until cheese melts. Remove from heat.', 'Meanwhile, bring a large pot of salted water to a boil, and cook elbow macaroni until al dente (tender with a bite), about 8 minutes, or according to package instructions. Drain and set aside.', 'Melt remaining 2 tablespoons butter in a microwave-safe bowl on High, about 10 seconds. In a large bowl, combine elbow macaroni, melted\xa0 butter, and eggs. Stir in cheese sauce; adding a little more milk if the sauce seems too thick. Season with salt and pepper.', 'Pour macaroni and cheese into the prepared casserole dish. Top with shredded cheese and seasoned breadcrumbs.', 'Bake in the preheated oven until golden-brown and bubbling, 35 to 45 minutes.\n\n Cook’s Note\nFor Shrimp Mac & Cheese:\xa0Slice 1 pound cleaned shrimp down the middle lengthwise. Melt 1 to 2 tablespoons butter in a skillet over medium-heat, and cook and stir shrimp just until they show a little pink color. Season with salt and pepper. Stir shrimp into the unbaked mac and cheese, reserving a few sauteed shrimp to garnish the top.']","{'Calories': '891', 'Fat': '64g', 'Carbs': '31g', 'Protein': '47g'}"
Marry Me Gnocchi,"This marry me gnocchi has the bacon, sun-dried tomatoes, and creamy sauce of marry me chicken, but as a tasty side dish.",10 mins,20 mins,30 mins,6,"['1/2 pound bacon', '1 (16 ounce) package gnocchi', '3 cloves garlic, minced', '1/2 cup chicken broth', '1/4 cup heavy cream', '1/2 cup freshly shaved Parmesan cheese', '1/4 cup sun dried tomatoes', '1/2 teaspoon Italian seasoning', '1 pinch crushed red pepper flakes']","['Place a heavy skillet on the stove; lay bacon slices flat in the cold pan, without overlapping. Turn the stove to medium heat.', 'After 5 to 7 minutes, the bacon should start to curl and brown. Use tongs to flip each slice over. Cook the other side until as crisp as you like, 5 to 7 minutes more. Remove bacon from the pan; place it on a plate lined with paper towels to drain excess grease. Once cool enough to handle, roughly chop bacon.', 'Add gnocchi to the skillet. Do not stir. Cook for about 5 minutes. Add minced garlic. Sauté until fragrant, about 30 seconds.', ""Add chicken broth and slowly pour in cream; stir to combine. Add in Parmesan cheese. Stir to melt. Stir in bacon, sun dried tomatoes, Italian seasoning, and red pepper flakes.\n\n Cook’s Note\nTaste first; bacon and Parmesan cheese may be salty enough that you won't need to add additional salt.""]","{'Calories': '407', 'Fat': '20g', 'Carbs': '35g', 'Protein': '21g'}"
Marry Me Chicken Pasta Bake,"This marry me chicken pasta bake is super cheesy studded with bits of sun-dried tomato. Topped with extra cheese and crunchy herb-seasoned panko, it’s easily a winner!",20 mins,55 mins,1 hr 15 mins,6,"['12 ounces uncooked penne pasta', '1 pound boneless, skinless chicken breasts', '1 teaspoon freshly ground black pepper', '2 1/2 teaspoons Italian seasoning, divided', '2 1/2 teaspoons kosher salt, divided', '1 cup drained jarred julienne-cut sun-dried tomatoes', '4 tablespoons oil from sun-dried tomato jar, divided', '1 1/2 cups finely chopped yellow onion', '6 large garlic cloves, thinly sliced', '1/3 cup dry white wine', '2 tablespoons tomato paste', '3 tablespoons unsalted butter', '3 tablespoons all purpose flour', '1 cup whole milk', '1 (5 ounces) package fresh baby spinach', '2 cups shredded low-moisture part-skim mozzarella cheese or fontina cheese, divided', '1/2 cup freshly grated Parmesan cheese, divided', '1/2 cup panko (Japanese-style breadcrumbs)', 'fresh basil leaves']","['Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C).\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bring a large pot of water to a boil over high. Add pasta and cook, stirring occasionally, until al dente, 8 to 10 minutes. Reserve 1 cup of pasta cooking water. Drain pasta and transfer to an ungreased 13- x 9-inch baking dish.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Season chicken breasts evenly with black pepper and 1 teaspoon each of the Italian seasoning and salt. Heat 2 tablespoons of sun-dried tomato oil in a large skillet over medium until shimmering. Add chicken breasts and cook until golden brown and a thermometer inserted into the thickest part registers 165 degrees F (73 degrees C), 10 to 15 minutes, flipping occasionally. Transfer to a cutting board and let rest 5 minutes. Thinly slice chicken and add to pasta in baking dish. Do not clean skillet.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add 1 tablespoon of the sun-dried tomato oil to skillet and return to medium heat. Add onion and garlic, and cook, stirring often, until softened, about 6 minutes. Add white wine, tomato paste, and 1/2 cup sun-dried tomatoes, and cook, stirring often, until liquid is reduced by half, about 2 minutes.\xa0Stir in butter until melted. Sprinkle flour over sun-dried tomato mixture and cook, stirring constantly, until thick and pasty, about 1 minute. Gradually stir in reserved pasta cooking water and milk.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Cook, stirring often, until thickened and smooth, about 2 minutes.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add spinach, 1 teaspoon Italian seasoning, and remaining 1 1/2 teaspoons salt. Cook over medium, stirring constantly, until wilted and bright green, about 2 minutes. Remove from heat and stir in 1 cup of the mozzarella cheese and 1/4 cup of the Paremsan cheese until melted. Transfer to pasta mixture in baking dish and stir until well combined. Set aside.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat remaining 1 tablespoon sun-dried tomato oil in a small skillet over medium-high. Add panko and remaining 1/2 teaspoon Italian seasoning, and cook, stirring constantly, until golden brown, about 2 minutes. Remove from heat. Sprinkle pasta mixture with remaining 1/2 cup sun-dried tomatoes, 1 cup mozzarella cheese, 1/4 cup Parmesan cheese, and toasted panko mixture.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bake in preheated oven until cheese is melted, about 15 minutes. Garnish with basil.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '565', 'Fat': '23g', 'Carbs': '41g', 'Protein': '46g'}"
One-Pot Cheeseburger Pasta,This one-pot cheeseburger pasta is the perfect marriage between two delicious dishes rolled into one. Yellow mustard is the key ingredient adding the nostalgic cheeseburger flavor and the briny tang of the pickles take the dish to the next level!,10 mins,35 mins,45 mins,6,"['1 pound 80/20 ground beef', '1 yellow onion, finely chopped', '6 cloves garlic, minced', '1 teaspoon kosher salt', '1/2 teaspoon freshly ground black pepper', '1 tablespoon tomato paste', '2 teaspoons onion powder', '1 1/2 teaspoons smoked paprika', '1 teaspoon garlic powder', '4 cups beef broth', '1  15-ounce) canned crushed tomatoes', '1/4 cup drained hamburger dill pickle chips, finely chopped, plus more chips for garnish', '3 tablespoons yellow mustard', '3 tablespoons ketchup', '8 ounces uncooked cavatappi pasta', '1 (8-ounce) package shredded sharp Cheddar cheese', '2 ounces cream cheese, cut into pieces', 'toasted sesame seeds and sliced scallions']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat a large nonstick skillet over medium-high heat. Add beef, onion, garlic, salt, and black pepper, and cook, stirring occasionally, untilbeef is no longer pink and onions are translucent, 6 to 8 minutes. Add tomato paste, onion powder, paprika, and garlic powder, and cook, stirring constantly, until tomato paste coats beef mixture, about 1 minute.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in broth, crushed tomatoes, pickles, mustard, and ketchup; bring to a boil over medium-high heat.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in pasta, making sure it is fully submerged in liquid. Cook over medium-high, stirring occasionally, until pasta is al dente, 8 to 10 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Remove from heat and add Cheddar cheese and cream cheese, stirring constantly, until melted, about 2 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Divide pasta among bowls and garnish with pickle chips, sesame seeds, and scallions.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '687', 'Fat': '43g', 'Carbs': '29g', 'Protein': '46g'}"
Chicken Spinach Alfredo Baked Stuffed Shells,These chicken Alfredo baked stuffed shells are made with rotisserie chicken and prepared Alfredo sauce for ease. Assemble a few ingredients for a comfort food casserole with an elevated edge.,20 mins,40 mins,1 hr,6,"['1 pound jumbo pasta shells', '2 tablespoons kosher salt, divided', '2 cups shredded rotisserie chicken', '1 ¼ cups ricotta cheese', '1/4 cup chopped fresh basil', '10 ounces frozen chopped spinach, thawed and well drained', '1 cup grated Parmesan cheese, divided', '3/4 teaspoon freshly ground black pepper, divided', '1/2 teaspoon garlic powder', '1 large egg, beaten', '1 tablespoon olive oil', '1 (21.5 ounce) jar prepared Alfredo sauce', '2 cups shredded mozzarella cheese']","['Bring a large pot of water to a boil. Add 4 ½ teaspoons salt and pasta shells to water and boil, stirring occasionally, 9 minutes. Drain and set aside.', 'Preheat the oven to 375 degrees F (190 degrees C). Combine chicken, ricotta, basil, spinach, 3/4 cup grated Parmesan cheese, 1/2 teaspoon pepper, garlic powder, and remaining 1 ½ teaspoons salt in a large bowl and mix well. Stir in egg. Divide filling evenly among pasta shells.', 'Coat bottom of a 9x13-inch casserole dish with olive oil. Spread 1/2 cup Alfredo sauce along bottom of dish. Fill dish with stuffed shells and top with remaining sauce, shredded cheese and remaining Parmesan and\xa0 pepper. Cover with foil.', 'Bake in the preheated oven for 25 minutes. Uncover and bake until bubbly, 10 to 15 minutes more.', 'Turn the oven to broil on High. Broil until lightly browned on top, 3 to 4 minutes. Let stand for 5 to 10 minutes before serving.']","{'Calories': '1045', 'Fat': '74g', 'Carbs': '40g', 'Protein': '57g'}"
Chicken Pot Pie Pasta Bake,"This chicken pot pie pasta bake is very moist, rich, and flavorful, with buttery bread crumbs serving as a brilliant stand-in for pie crust. This is the perfect comfort food—a pasta casserole—that tastes just like that other perfect comfort food—chicken pot pie.",30 mins,3 hrs 10 mins,4 hrs 50 mins,8,"['1 whole roasted chicken', '1 bay leaf', '1/2 cup unsalted butter', '1 yellow onion, diced', '3 carrots, cubed', '3 ribs celery, cut into 1/2-inch pieces', '1 teaspoon salt, plus more to taste', '1/2 teaspoon freshly ground black pepper', '1/4 teaspoon dried thyme', '1/4 teaspoon garlic powder', '1/8 teaspoon cayenne pepper', '1/2 cup all-purpose flour', '6 cups chicken broth', '1 rounded tablespoon chicken bouillon paste', '1 cup green peas', '1/3 cup heavy cream', '1 pound dry pasta shells', '1 cup panko bread crumbs', '1/2 teaspoon kosher salt', '1/4 cup melted butter']","['Pull meat from chicken and refrigerate until needed.', 'Add 2 quarts of water to a pot and transfer in chicken bones, skin, and any meat scraps. Add bay leaf and bring to a simmer on high heat. Reduce to low and simmer for 2 hours. Remove to cool, about 1 hour. Strain broth and reserve in refrigerator until needed. This may make more broth than the 6 cups needed.', 'To make the pot pie mixture, add butter to a pot and melt over medium-high heat. Add onions, carrots, celery, and salt. Cook, stirring, until onions start to turn translucent, about 5 minutes.', 'Season with pepper, thyme, garlic powder, and cayenne, and cook for 1 minute more. Add flour and cook until flour toasts to a golden brown on the bottom of the pot, 3 to 4 minutes.', 'Stir in 6 cups of broth, and bring to a simmer on high heat, then reduce to medium. Add peas and cream and cook, stirring, for 10 minutes. Cut chicken meat into small bite-size pieces and add it in. Cook 5 minutes more. Turn off heat and reserve.', 'Preheat the oven to 375 degrees F (190 degrees C).', 'Fill a large pot with lightly salted water and bring to a rolling boil. Stir in pasta and return to a boil. Cook pasta uncovered, stirring occasionally, i minute less than specified in package directions.. Drain very well; stir pasta into pot pie mixture. Transfer everything into a large, deep baking dish (about 4 1/2 quart size), and distribute evenly.', 'Stir panko, salt, and melted butter together in a bowl; sprinkle evenly over casserole.', 'Bake in the preheated oven until casserole is bubbling around the edges and top is browned, 45 to 60 minutes. Let rest 10 to 15 minutes before serving.\n\n \n\n\n\n\n\n \n John Mitzewich\n\n From the Editor\nNutrition data for this recipe includes the full amount of broth. The actual amount of broth consumed will vary.']","{'Calories': '469', 'Fat': '27g', 'Carbs': '41g', 'Protein': '17g'}"
Easy One Pan Ramen Chicken Alfredo,"This easy one pan ramen chicken Alfredo takes minutes to assemble, and just under an hour to cook. It's easy comfort food with almost no cleanup.",5 mins,50 mins,55 mins,8,"['6 (3 ounce) packages chicken flavored ramen noodles', '2 (15 ounce) jars Alfredo sauce', '3 cups shredded cooked chicken, from one rotisserie chicken', '1 cup water', '1 cup heavy cream', '2 cups shredded Italian blend cheese', '1/2 teaspoon ground black pepper']","['Preheat the oven to 350 degrees F (175 degrees C). Arrange uncooked ramen noodles in an even layer in the bottom of a large casserole dish, breaking noodle blocks as necessary to fit.\xa0Sprinkle 1 packet of seasoning evenly over noodles; discard remaining seasoning packets.', 'Pour 1 jar of Alfredo sauce evenly over noodles. Spread chicken evenly over sauce. Pour second jar of Alfredo sauce over chicken. Add water to first Alfredo jar, shake it to rinse sauce from the jar, and pour mixture over noodles. Add cream to second jar, shake, and pour over the casserole.\xa0 Top with cheese and pepper.', 'Bake in the preheated oven until browned and bubbly and noodles are tender, 50 to 60 minutes. Add up to 1/2 cup more water as needed, if too much is absorbed before noodles are cooked.']","{'Calories': '861', 'Fat': '75g', 'Carbs': '15g', 'Protein': '34g'}"
One Pan Spicy Soy Noodles with Chicken,A quick and easy one pan recipe with linguine and chicken pieces in a spicy soy-based sauce. Perfect for busy weeknights with minimal clean up.,10 mins,20 mins,30 mins,4,"['1 1/4 pounds boneless skinless chicken breast or tenders, cut into 1-inch pieces', '1/2 teaspoon garlic powder', '1/2 teaspoon paprika', '1 1/2 teaspoons kosher salt', '1/2 teaspoon freshly ground black pepper', '1 1/2 cups water, plus more as needed', '1/4 cup soy sauce', '2 tablespoons apple cider vinegar', '2 tablespoons neutral oil, divided', '2 teaspoons sesame oil', '2 cloves garlic, minced', '1 tablespoon minced ginger', '1/4 teaspoon crushed red pepper, plus more for garnish to taste', '8 ounces uncooked linguine pasta', '2 tablespoons brown sugar', '2 teaspoons sesame seeds', '3 green onions, thinly sliced']","['Season chicken with garlic powder, paprika, salt, and pepper.\xa0Whisk together 1 1/2 cups water with soy sauce and vinegar in a 2 cup measuring cup or bowl. Set aside.', 'Heat 1 tablespoon oil in a large deep skillet over medium-high heat.\xa0Add chicken and cook, stirring occasionally, until browned on all sides (Chicken will not be cooked through at this point).\xa0 Remove chicken from skillet and set aside.', 'Add remaining neutral oil and sesame oil to skillet.\xa0Add garlic and ginger and cook until fragrant, about 1 minute, stirring constantly.\xa0Stir in crushed red pepper.\xa0Add pasta and stir to coat in garlic mixture.\xa0Add reserved soy sauce mixture and stir until everything is well incorporated, scraping any browned bits from bottom of skillet.\xa0Bring mixture to a boil and reduce to simmer.', 'Add chicken and any accumulated juices into skillet along with brown sugar.\xa0Stir and cook, stirring occasionally, until pasta is cooked and sauce is thickened, 10 to 12 minutes. Add additional water as needed to keep mixture saucy until pasta is cooked.\xa0Stir in green onions, sesame seeds and more crushed red pepper if desired.']","{'Calories': '648', 'Fat': '34g', 'Carbs': '54g', 'Protein': '32g'}"
Zucchini Roll Lasagna on Turkey Bolognese,"This incredible zucchini roll lasagna doesn't contain any pasta. Instead, thin zucchini strips are rolled around a 3-cheese filling and baked over a savory turkey Bolognese. The presentation is truly next level.",20 mins,1 hr,1 hr 30 mins,8,"['1 pound ricotta cheese', '1/2 cup packed grated Parmigiano Reggiano cheese', '1 1/2 cups grated mozzarella cheese', '1 large egg', '1/2 teaspoon freshly ground black pepper', '1/2 teaspoon kosher salt', '1 pinch cayenne pepper', '2 tablespoons minced Italian parsley', '2 tablespoons olive oil', '12 ounces Italian turkey sausage, casings removed', '1/2 large yellow onion, diced', '1 (24 ounce) jar prepared marinara sauce', '1/2 cup water', '1/4 cup cream', '8 large green zucchini', '1 rounded tablespoon kosher salt', '1/4 cup freshly grated Parmigiano Reggiano cheese', '1/2 cups freshly grated mozzarella cheese', '1 tablespoon olive oil']","['For cheese filling: Place ricotta, Parmigiano Reggiano, mozzarella, egg, black pepper, salt, cayenne, and parsley in a bowl, and stir together until combined; refrigerate until needed.', 'For Bolognese: Heat olive oil over medium-high heat in a large nonstick skillet, and add Italian turkey sausage, onions, and a pinch of salt. Cook, breaking up the sausage with a spatula, until browned and broken into small crumbles, 5 to 7 minutes.', 'Stir in marinara sauce, water, and cream and bring to a simmer. Reduce heat to medium-low and simmer, stirring occasionally, for at least 10 to 15 minutes. Sauce can be cooked longer, adding small amounts of water as needed to maintain consistency.', 'Transfer sauce into a 13x9-inch baking dish and set aside.', 'Preheat the oven to 400 degrees F (200 degrees C).', 'For zucchini rolls: trim ends of zucchini with a knife and then use a vegetable peeler to make lengthwise strips. For best results, use only the largest, widest center-cut pieces. You can also place two thinner pieces overlapped side-by-side. You will need to make a total of 30 zucchini rolls.', 'Lay out zucchini strips on a work surface. Spread each strip with about 2 rounded teaspoons of cheese mixture and roll up.', 'Place filled strips on top of sauce in the baking dish in a 5x6 pattern. Scatter grated Parmigiano Reggiano and grated mozzarella evenly over the top, and drizzle with olive oil.', ""Bake in the preheated oven until sauce is bubbling, and cheese has started to brown, 45 to 60 minutes. Let rest for 5 to 10 minutes before serving.\n\n \n\n\n\n\n\n \n John Mitzewich\n\n Chef's Note:\nGround turkey seasoned with dried Italian herbs and garlic can be substituted for the Italian turkey sausage.""]","{'Calories': '423', 'Fat': '28g', 'Carbs': '16g', 'Protein': '30g'}"
One Pan Pasta with Bacon and Peas,"One pan pasta with bacon and peas is an easy weeknight meal. Smoky bacon, sweet peas, and nutty Parmesan cheese are perfect partners for this dish. Use any type of dry pasta.",15 mins,25 mins,40 mins,4,"['8 ounces bacon, diced', '1/2 cup diced onion', '2 cloves garlic, minced', '2 2/3 cups chicken broth', '2/3 cup milk', '8 ounces rotini pasta', '1 cup frozen peas', '3/4 cup plain Greek yogurt', 'salt and freshly ground black pepper to taste', '1/2 cup grated Parmesan cheese, or more to taste']","['Cook bacon in a large skillet over medium heat until crispy, about 3 minutes. Transfer bacon to a plate lined with a paper towel. Remove all but about 2 tablespoons bacon grease from the skillet.', 'Add onion to the skillet, and cook until translucent and tender, 3 to 4 minutes. Add garlic and cook until fragrant, about 30 seconds.', 'Pour in chicken broth and milk, and bring to a boil. Stir in pasta, reduce heat to medium low, cover the skillet, and cook, stirring occasionally, until pasta is al dente, 13 to 15 minutes.', 'Stir in peas, and cook just until thawed. Add Greek yogurt and bacon, stir to combine, and season with salt and pepper. Sprinkle with Parmesan and serve.']","{'Calories': '509', 'Fat': '25g', 'Carbs': '34g', 'Protein': '35g'}"
Creamy Asparagus and Mushroom Pasta,"This creamy asparagus and mushroom pasta is a delicious meatless main dish for 4, or a fantastic side for 6, great to go with chicken or chops. A tossed green salad and some garlic bread go nicely with this.",10 mins,15 mins,25 mins,4,"['8 ounces fettuccine', '1 tablespoon olive oil', '1 tablespoons butter', '2 cups sliced (1 1/2 inch) fresh asparagus', '1/3 cup thinly sliced shallot', 'salt and freshly ground black pepper to taste', '2 cups sliced fresh mushrooms', '1 1/2 teaspoons minced garlic', '1 teaspoon Italian seasoning', '3/4 cup heavy cream', '3/4 cup grated Parmesan cheese']","['Bring a large pot of salted water to boil. Add fettuccine and cook until tender with a bite, 7 to 10 minutes. Remove fettuccine to a colander to drain, and reserve pasta water.', 'Meanwhile, heat olive oil and butter in a large nonstick skillet over medium heat. When butter has melted, swirl the skillet to mix with the oil.', 'Add asparagus and shallot to the skillet and cook, stirring, 2 to 3 minutes. Season with salt and pepper.', 'Add mushrooms and cook, stirring, about 2 minutes. Add garlic and Italian seasoning and cook an additional 30 seconds.', 'Stir in heavy cream and bring to a boil. Add grated Parmesan cheese and stir until melted. See note. Stir in 1/4 to 1/2 cup reserved pasta water, if desired. Serve immediately.\n\n Cook’s Note\nPurchased grated Parmesan cheese usually has an anti-caking agent added that may affect the texture of the sauce. For best results, purchase a block of Parmesan and grate just prior to use.']",
Grilled Spaghetti,"Grilled spaghetti is cooked directly in a very simple sauce, so that all the extra flavor from toasting dry pasta on a grill stays in the sauce. This is delicious on its own as a side dish, or as a base for other grilled things like eggplant or chicken.",15 mins,25 mins,40 mins,4,"['8 ounces thick dry spaghetti', '3 tablespoons olive oil', '3 clove garlic, thinly sliced', '2 rounded tablespoons tomato paste', '3 3/4 cups chicken broth, plus more as needed', '1 teaspoon salt, or to taste, depending on salt level of broth', '2 tablespoons unsalted butter', '1/4 cup basil leaves, torn into small pieces', '1/4 cup finely grated Parmigiano Reggiano\xa0or to taste', '1 pinch red chili flakes (optional)']","['Prepare an outdoor charcoal grill for medium-high heat.', 'Place dry spaghetti on the hot charcoal grill, and cook, tossing often with tongs until the pasta is toasted to a light brown, about 4 minutes. Remove and set aside.', 'Add olive oil to a pan, and set over medium heat. Add garlic and sauté until fragrant, 30 seconds to 1 minute. Add tomato paste and sauté for about 1 minute; pour in broth.', 'Raise heat to medium-high and bring broth to a simmer. Add salt and grilled spaghetti, and use tongs to move spaghetti back and forth until it softens enough to be covered by the broth.', 'Cook, stirring, until spaghetti is as tender as you like; it will take a few minutes longer than package directions indicate. If pan gets too dry, add another splash of broth.', 'Reduce heat to low; stir in butter and basil. Turn off heat and stir in cheese. Serve immediately.\n\n \n\n\n\n\n\n \n John Mitzewich']","{'Calories': '277', 'Fat': '19g', 'Carbs': '22g', 'Protein': '7g'}"
Creamy Crockpot Macaroni and Cheese,"This supremely creamy crockpot macaroni and cheese is the way to go when you'd rather not have the oven on. It's as rich as baked macaroni and cheese, without the heat.",10 mins,2 hrs,2 hrs 10 mins,12,"['1 pound uncooked elbow macaroni', '2 tablespoons kosher salt, divided', 'cooking spray', '1 1/2 cups whole milk', '1 (12 ounce) can evaporated milk', '1 large egg', '1 large egg yolk', '1/2 cup butter, cut into pieces', '3 ounces cream cheese, cut into pieces', '1/4 teaspoon black pepper', '16 ounces sharp Cheddar cheese, shredded, divided']","['Bring a large pot of water to a boil over high heat; add macaroni and 4 1/2 teaspoons salt. Cook pasta until just barely tender, about 5 minutes. Drain and rinse with cold water to stop the cooking process.', 'Spray the inside of a slow cooker with cooking spray. Add pasta to the slow cooker and stir in milk, evaporated milk, butter, cream cheese and pepper. Whisk together egg and egg yolk in a small bowl until well combined; stir into pasta mixture. Set aside 3/4 cup shredded cheese. Stir remaining cheese into pasta mixture, cover, and cook on Low until bubbly and lightly browned around the edges, about 1 1/2 hours.', 'Sprinkle with reserved cheese, cover, and cook until cheese is melted, about 15 minutes more. Serve immediately. Alternatively, turn crockpot to Warm or Off until ready to serve.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '385', 'Fat': '28g', 'Carbs': '18g', 'Protein': '16g'}"
Creamy Lemon Shrimp Pasta,"This lovely lemon garlic shrimp dish with spaghetti pasta is deliciously creamy and comes together in just 30 minutes, making it perfect for busy weeknights!",10 mins,20 mins,30 mins,6,"['¾ (16 ounce) package spaghetti', '1 pound uncooked medium shrimp, peeled and deveined', 'salt and ground black pepper to taste', '2 tablespoons finely chopped shallots', '1 tablespoon crushed garlic', '¼ cup chicken broth', '1 medium lemon, zested and juiced', '½ cup heavy cream', '5 large basil leaves, chopped', '1 pinch red pepper flakes']","['Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally, until tender yet firm to the bite, about 10 to 12 minutes.', 'While the pasta is cooking, heat oil in a large skillet over medium heat. Season shrimp with salt and pepper; add to the pan and cook 30 seconds per side. Remove to a plate.', 'Add shallots to the skillet and cook for 2 minutes. Add garlic and cook until fragrant, about 1 minute. Stir in chicken broth, lemon zest, and 1/2 of the lemon juice; heat for 2 minutes. Reserve remaining lemon juice for another use.', 'Add cream and bring to a simmer. Return shrimp to the skillet and cook until heated through and pink, 2 to 3 minutes. Add basil.', 'Drain spaghetti, reserving 1/4 to 1/2 cup pasta water.', 'Add spaghetti to the skillet. Add pasta water as needed and pepper flakes; toss to coat. Season with pepper if desired.']","{'Calories': '248', 'Fat': '9g', 'Carbs': '20g', 'Protein': '21g'}"
Spicy Sausage Pasta Bake,"This spicy sausage pasta bake is a hearty, comforting dish that combines bold flavors, rigatoni pasta, and a rich, flavorful creamy tomato sauce.",55 mins,10 mins,1 hr 5 mins,7,"['1 pound rigatoni pasta', '1 tablespoon olive oil', '2 teaspoons butter', '1 small onion, diced', '1 cup sliced mushrooms', '1/2 pound 93% lean ground beef', '1/2 pound hot Italian sausage', '4 cloves garlic, minced', '1 1/2 teaspoons Calabrian chili paste, or to taste', '1 (10 ounce) can diced tomatoes with green chiles (such as RoTel® Original)', '22 ounces marinara sauce\xa0(such as Rao’s Homemade®)', '1 ounce creme fraiche', '1 cup fat-free half-and-half', '1 cup heavy cream', '8 ounces pearl mozzarella, broken into pieces', '1 tablespoon chopped fresh parsley, or as needed']","['Preheat the oven to 375 degrees F (190 degrees C).', 'Fill a large pot with lightly salted water and bring to a rolling boil. Stir in rigatoni and return to a boil. Cook pasta uncovered for 7 minutes, stirring occasionally. Drain.', 'Meanwhile, add olive oil and butter to a heavy cast iron or other ovenproof skillet. When butter is melted, add onion to the skillet, and sauté until translucent, 3 to 4 minutes. Add mushrooms, and sauté until softened, about 3 minutes.', 'Add beef and sausage. Cook, breaking up meat with a spatula, until browned and crumbly, 5 to\xa07 minutes.', 'Add garlic, Calabrian chile paste, and RoTel. Sauté for about 1 minute. Stir in marinara sauce. Stir in crème fraîche, half-and-half, and whipping cream. Fold in rigatoni until combined; fold in half of mozzarella. Scatter remaining mozzarella on top of skillet.', 'Bake in the preheated oven until bubbly, about 30 minutes. Scatter parsley over top. Serve immediately.\n\n Cook’s Note\nCalabrian chili paste is rather spicy. Use it sparingly unless you can tolerate spicy heat.']","{'Calories': '630', 'Fat': '39g', 'Carbs': '39g', 'Protein': '31g'}"
Taco Pasta,"This is an easy taco pasta dish to make with ground beef, your favorite taco seasoning, tomatoes, pasta, and two types of cheese for a quick and delicious dinner that hits the spot every time!",10 mins,20 mins,30 mins,4,"['6 ounces spaghetti or other pasta', '1 pound ground beef', '½ cup diced onion', '1 (10.5 ounce) can  condensed cream of mushroom soup', '1 (10 ounce) can diced tomatoes and green chiles (such as RO*TEL®)', '⅔ cup water', '1 ounce taco seasoning', '1 (8 ounce) package processed cheese (such as Velveeta®), cubed', '1 cup shredded sharp Cheddar cheese']","['Bring a large pot of lightly salted water to a boil. Cook pasta in the boiling water, stirring occasionally, until tender yet firm to the bite, about 10 to 12 minutes.', 'Meanwhile, heat a large skillet over medium heat and cook ground beef and onions until meat is browned and onions are soft and translucent, about 5 minutes. Stir in mushroom soup, tomatoes, water, and taco seasoning. Cook until well combined. Add Velveeta and stir until melted, about 5 minutes.', 'Drain pasta and add to skillet. Top with Cheddar cheese, cover, and let stand until cheese has melted.\n\n \n\n\n\n\n\n \n Ramona Cruz-Peters']","{'Calories': '927', 'Fat': '58g', 'Carbs': '37g', 'Protein': '61g'}"
